StringIndex,NumberIndex
투썸플레이스 문정역점 문정동,636
앤티크커피 동교동,637
파스텔서촌점 누하동,638
4F카페 방산동,639
콩밭커피로스터 용산동2가,640
카멜커피 7호점 성수동1가,641
카시코이 연희동,642
코코버블티 명동점 명동1가,643
메가엠지씨커피 경복궁역점 체부동,644
스타벅스 숭례문북창점 남대문로4가,645
스타벅스 을지로입구역점 을지로2가,646
스타벅스 종로관철점 관철동,647
르하임스터디카페 석촌헬리오시티점 석촌동,648
빽다방 송파사거리점 석촌동,649
커스텀커피헬리오 시티점 가락동,650
컴포즈커피 송파사거리점 석촌동,651
폴바셋 롯데백화점잠실점 잠실동,652
coppercoffee 명륜1가,653
딮다 신수동,654
로스코지 신수동,655
카페 나팔꽃 창전동,656
이디야커피 구로에이스점 구로동,657
이디야커피 당곡사거리점 봉천동,658
스타벅스 군자역점 군자동,659
스테이어와일 구의동,660
205도씨 명륜2가,661
공차 강남대성학원점 역삼동,662
쿠스 신사동,663
스타벅스 교대법원점 서초동,664
이디야커피 독바위역점 불광동,665
투썸플레이스신촌점 신촌점 창천동,666
프라빈커피앤데일리브레드 독바위역점 불광동,667
쥬씨&고망고 서울숲점 성수동1가,668
이디야커피 용산청파점 청파동1가,669
카페카페 방배동,670
룩업커피 공덕동,671
카페 쿠수키 당산동1가,672
커피사피엔스문래에이스 하이테크시티점 문래동3가,673
더블플랫 양평동4가,674
뎁스커피 화곡동,675
선유슬로우 양평동4가,676
세컨드커피 와룡동,677
아러바우트 한남 한남동,678
삼일샐러드 사당동,679
스타벅스 망원역점 서교동,680
청년다방 교대역점 서초동,681
테라로사 포스코센터점 대치동,682
너티카페 군자동,683
오슬로우군자역 중곡동,684
프레스커피 송파동,685
아오스요거트 화양동,686
파브리끄 역삼GFC점 역삼동,687
36.5도여름동쪽점 동쪽점 서교동,688
디저트하우스 갈현동,689
메가엠지씨커피 가재울뉴타운점 남가좌동,690
메가엠지씨커피 대흥역점 대흥동,691
메가엠지씨커피 역말사거리점 역촌동,692
설빙 수락산역점 상계동,693
엔쓰커피 갈현동,694
이디야커피 북가좌동점 북가좌동,695
이디야커피 신촌역점 창천동,696
이디야커피 아현역점 북아현동,697
이디야커피 어린이대공원역점 화양동,698
지브릭커피 진관동,699
카페게이트 건대점 화양동,700
커피사피엔스 연신내역점 갈현동,701
커피에반하다길동역점 길동역점 길동,702
컴포즈커피 은평갈현점 갈현동,703
투썸플레이스 신촌기차역점 대현동,704
감꽃당 익선동,705
강정이넘치는집 청담점 청담동,706
구테로이테 논현동,707
빈스브라운 중곡동,708
사푼사푼 강남점 서초동,709
셀렉토커피 홍제점 홍제동,710
제이제곱 미아동,711
카페윤재 길음동,712
커피리브레 연남점 연남동,713
준바이누아네 신수동,714
폰드커피 서교동,715
할리스커피 구로디지털뉴스테이점 대림동,716
로스디아스 동선동2가,717
벤투라커피 미아동,718
메가엠지씨커피 둔촌동역점 성내동,719
아아수혈 강동점 명일동,720
커피인류 강남구청점 삼성동,721
빽다방 노원문화의거리점 상계동,722
빽다방노원역북부점 노원역북부점 상계동,723
원형들 충무로4가,724
설빙 마포공덕점 도화동,725
스타벅스 IFC몰점 여의도동,726
공차 상일동역점 고덕동,727
모츠커피 화양동,728
오프셋커피 신당동,729
토즈모임센터 선릉점 대치동,730
메가엠지씨커피 보라매점 신대방동,731
빽다방 신림난곡점 신림동,732
할리스커피 난곡사거리점 신림동,733
3F로비 한강로3가,734
상왕제약 하왕십리동,735
소피 공덕동,736
카페58.4 성북동,737
카페로비 한강로3가,738
커피그래 신당동,739
클로드커피 대흥동,740
묘사서울 성수동1가,741
빽다방 대치동학원가점 대치동,742
빽다방 선정릉역점 역삼동,743
팔공티대치학원가점 대치동,744
메가엠지씨커피 수유점 수유동,745
스타벅스 강북구청사거리점 수유동,746
스타벅스성신여대정문 동선동2가,747
카페띠아모 쌍문동점 창동,748
텀브커피 쌍문점 쌍문동,749
로스커피 서교동,750
소림커피 서교동,751
커피덕 동교동,752
래뮤 성수동1가,753
이월로스터스 성수점 성수동1가,754
카페 캔두잇고 당산동4가,755
홀트 원효로2가,756
꽁상뜨레 삼선동3가,757
더스크블루 당산동4가,758
더현대서울올댓커피 여의도동,759
드로우에스프레소바 중림동,760
바캉스커피 다동,761
빽다방 미아역점 미아동,762
서화커피 명륜4가,763
어라운드데이 성수동1가,764
티틸 수유동,765
혜민당 을지로2가,766
스몰굿커피 다동,767
구욱희씨 성수동1가,768
꼬르소산도 망원동,769
라보아르 연남동,770
빙하기 망원동,771
스타벅스 홍대역점 동교동,772
아너 공릉동,773
제비꽃다방 부암동,774
카페 마가렛 연남동,775
카페울티모 울티모 문정동,776
홍차가게청담 삼성동,777
YM에스프레소룸 진관동,778
비엔나커피하우스 송파사거리점 석촌동,779
스타벅스 송파개롱역점 가락동,780
스타벅스 송파사거리점 송파동,781
아이아오 성내동,782
이디야커피 마포공덕역점 도화동,783
커피비상구 도화동,784
목단가옥 한남동,785
티알브이알 이태원동,786
베베베 한남동,787
스타벅스 발산역사거리점 마곡동,788
모베러블루스 동숭동,789
타로일상 봉천동,790
로우키 성수동2가,791
앵글340 장사동,792
에드빗 삼성동,793
블루포트 서울대점 신림동,794
스타벅스 삼성역섬유센터R점 대치동,795
파스쿠찌 서울대점 신림동,796
랑데자뷰홍대 서교동,797
빌리프커피로스터스 서교동,798
해례커피 갈현동,799
허밍벨라 서교동,800
구움블루스 목동,801
띠옷 연남동,802
카페구월 동선동2가,803
이디야커피 북촌마을점 화동,804
미스터힐링 이수점 사당동,805
베러댄와플 신림점 신림동,806
쥬마뺄 동교동,807
코우드 봉천동,808
스므으커피 종로2가,809
스타벅스 신세계강남점 반포동,810
이디야커피 답십리사거리점 답십리동,811
미스랄라 이촌동,812
커피앳웍스 양재역점 서초동,813
북카페타셴 동숭동,814
스튜디오웝 대신동,815
투썸플레이스 신촌대로점 노고산동,816
메가엠지씨커피 목동우성점 신정동,817
스타벅스오목교역점 오목교역점 목동,818
갤러리힐링카페 공릉동,819
엘엘엘커피 석촌동,820
피카 안암동5가,821
개미지옥 논현동,822
카페씬 오류동,823
라라브레드 공릉점 공릉동,824
메가엠지씨커피 장위점 장위동,825
스타벅스 장위뉴타운점 장위동,826
투썸플레이스 북서울꿈의숲점 번동,827
디바야누스 서초동,828
빽다방 양재시민의숲역 양재동,829
청년다방 낙성대점 봉천동,830
할리스커피 신림점 신림동,831
쓰리버즈 센트럴시티점 반포동,832
커피나오길 상리단점 상일동,833
로쿠커피 군자동,834
오아시스더디저트 군자동,835
더나더나 노고산동,836
모로티 역삼동,837
스타벅스강남삼성타운점 강남삼성타운점 서초동,838
세라젬웰카페 고덕점 고덕동,839
프라이빗플레이스 능동,840
유목커피바 동선동1가,841
이디야커피 이화여대점 대현동,842
빽다방 마포경찰서점 아현동,843
스타벅스 아현역점 북아현동,844
구대회커피상수래미안점 상수동,845
SAYSOMETHING 통의동,846
꾸에바마테라 용산동2가,847
골드버튼커피 남영동,848
스타벅스올림픽평화의문점 올림픽평화의문점 방이동,849
예카페 봉익동,850
카페선셋 산림동,851
커피리브레 명동성당점 명동2가,852
커피에꽃을담다 마곡동,853
탐앤탐 피카디리점 돈의동,854
태극당 인사점 관훈동,855
백미당D 타워점 청진동,856
어웨이크 수유동,857
고양이당 망원동,858
로우키 송정동,859
바즈 성수동2가,860
스위트레코드 화양동,861
에그마카슈 건대점 화양동,862
와플칸 세종대점 화양동,863
잎차 용산동2가,864
친구네과자집 자양동,865
투고오알 송정동,866
펑키커피 성수동2가,867
R카페 익선동,868
서계동커피집 서계동,869
정성다방 동자동,870
스타벅스 목동8단지점 신정동,871
스타벅스 선릉역점 역삼동,872
스타벅스 현대목동점 목동,873
서림동커피집 신림동,874
브레드피트 여의도동,875
스타벅스 영등포KT점 영등포동8가,876
